document,field,gold_state,predicted_state,gold_value,predicted_value,gold_derivation,predicted_derivation,gold_rule,predicted_rule,evidence_role,gold_pages,predicted_page,gold_evidence,predicted_evidence,state,value,page,span,bbox,derivation,support,span_coverage,span_iou,span_dilution,bbox_coverage,bbox_iou,bbox_dilution,verbatim,verbatim_fuzzy_score,joint_correct,confidence,gold_requires_evidence,gold_ambiguous,bbox_provenance,support_note,note
sds_21.pdf,product_name,PRESENT,PRESENT,"HYDROQUINONE, CRYSTAL","HYDROQUINONE, CRYSTAL",EXPLICIT,DIRECT,,,direct,1,1,"Product Name HYDROQUINONE, CRYSTAL","Product Name HYDROQUINONE, CRYSTAL",satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.9,True,False,system,,
sds_21.pdf,supplier_name,PRESENT,NOT_STATED,Spectrum Chemical Mfg. Corp.,,EXPLICIT,DIRECT,,,direct,1,,Supplier Address Spectrum Chemical Mfg. Corp.,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_21.pdf,substance_or_mixture,PRESENT,PRESENT,SUBSTANCE,SUBSTANCE,EXPLICIT,DERIVED,,composition_implies_form,direct,2,2,3. Composition/information on ingredients Substance,Hydroquinone 123-31-9 100 *,satisfied,satisfied,satisfied,violated,violated,violated,satisfied,0.0000,0.0000,0.80,0.0000,0.0000,0.47,True,0.0,False,0.5,True,False,system,composition establishes SUBSTANCE,"gold is direct, prediction is derived"
sds_21.pdf,product_cas_number,PRESENT,NOT_STATED,123-31-9,,EXPLICIT,DIRECT,,,direct,2,,Hydroquinone 123-31-9 100,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_21.pdf,chemical_formula,NOT_STATED,NOT_STATED,,,ABSENT,DIRECT,,,direct,,,,,satisfied,satisfied,n/a,n/a,n/a,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,True,0.0,False,False,none,,
sds_21.pdf,molecular_weight,NO_DATA,NO_DATA,,,EXPLICIT,DIRECT,,,direct,5,5,Molecular weight No information available,Molecular weight No information available,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.9,True,False,system,,
sds_21.pdf,flash_point,PRESENT,PRESENT,165 °C / 329 °F,165 °C / 329 °F CC (closed cup),EXPLICIT,DIRECT,,,direct,5,5,Flash point 165 °C / 329 °F,Flash point 165 °C / 329 °F CC (closed cup),satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,0.7000,1.43,1.0000,0.6252,1.60,True,0.0,True,0.9,True,False,system,,
sds_22.pdf,product_name,PRESENT,PRESENT,MEDAPROTECT,MEDAPROTECT,EXPLICIT,DIRECT,,,direct,1,1,Trade name: MEDAPROTECT,Trade name: MEDAPROTECT,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.9,True,False,system,,
sds_22.pdf,supplier_name,PRESENT,PRESENT,MEDALKAN,Manufacturer/Supplier,EXPLICIT,DIRECT,,,direct,1,1,Manufacturer/Supplier: MEDALKAN,Details of the supplier of the safety data sheet Manufacturer/Supplier:,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,0.5000,0.0909,5.00,0.4695,0.1731,2.18,True,0.0,False,0.85,True,False,system,,
sds_22.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,MIXTURE,EXPLICIT,DIRECT,,,direct,2,2,3.2 Mixtures | Description: Mixture: consisting of the following components.,3.2 Mixtures,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,,
sds_22.pdf,product_cas_number,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,2,2,3.2 Mixtures | Description: Mixture: consisting of the following components.,3.2 Mixtures,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,premise establishes MIXTURE,
sds_22.pdf,chemical_formula,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,2,2,3.2 Mixtures | Description: Mixture: consisting of the following components.,3.2 Mixtures,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,premise establishes MIXTURE,
sds_22.pdf,molecular_weight,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,2,2,3.2 Mixtures | Description: Mixture: consisting of the following components.,3.2 Mixtures,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,premise establishes MIXTURE,
sds_22.pdf,flash_point,NO_DATA,NO_DATA,,,EXPLICIT,DIRECT,,,direct,7,7,Flash point: Not determined,Flash point: Not determined,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.9,True,False,system,,
sds_23.pdf,product_name,PRESENT,PRESENT,(S)-AL 8810,(S)-AL 8810,EXPLICIT,DIRECT,,,direct,1,1,Trade name: (S)-AL 8810,Trade name: (S)-AL 8810,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.9,True,False,system,,
sds_23.pdf,supplier_name,PRESENT,PRESENT,Cayman Chemical Co.,· Manufacturer/Supplier,EXPLICIT,DIRECT,,,direct,1,1,Manufacturer/Supplier: Cayman Chemical Co.,Details of the supplier of the safety data sheet · Manufacturer/Supplier:,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,0.2500,0.0714,2.75,0.4713,0.1809,2.08,True,0.0,False,0.85,True,False,system,,
