document,gold_index,predicted_index,key,gold_name,predicted_name,gold_concentration,predicted_concentration,name_ok,cas_ok,concentration_ok,evidence_ok,verbatim,record_ok,record_with_evidence_ok
sds_03.pdf,0,0,cas,"Reaction products of benzaldehyde diethylenetriamine and triethylenetetramine, hydrogenated",Acute Tox. 4: H302; Aquatic Chronic 2: H411; Eye Dam. 1: H318; Skin Corr. 1B: H314 Danger,1 - <2.5 %,1 - <2.5 %,False,True,True,True,True,False,False
sds_03.pdf,1,1,cas,m-phenylenebis(methylamine),Acute Tox. 4: H302+H332; Aquatic Chronic 3: H412; Eye Dam. 1: H318; Skin Corr. 1B: H314; Skin Sens. 1B: H317,<1 %,<1 %,False,True,True,True,True,False,False
sds_03.pdf,2,2,cas,"1,2-benzisothiazol-3(2H)-one",Acute Tox. 4: H302; Aquatic Acute 1: H400; Eye Dam. 1: H318; Skin Irrit. 2: H315; Skin Sens. 1: H317 Danger,<1 %,<1 %,False,True,True,True,True,False,False
sds_03.pdf,3,3,cas,Reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1),Acute Tox. 2: H310+H330; Acute Tox. 3: H301; Aquatic Acute 1: H400; Aquatic Chronic 1: H410; Eye Dam. 1,<1 %,<1 %,False,True,True,True,True,False,False
sds_04.pdf,0,0,cas,"1,1,1,2-Tetrafluoroethane","1,1,1,2-Tetrafluoroethane",100,100,True,True,True,True,True,True,True
sds_05.pdf,1,0,cas,"Distillates (petroleum), hydrotreated heavy paraffinic","Distillates (petroleum), hydrotreated heavy 01-2119484627-25 Asp. Tox. 1 H304",1 - < 5%,1 - < 5%,False,True,True,True,True,False,False
sds_05.pdf,2,1,cas,TRIS (METHYLPHENYL) PHOSPHATE,TRIS (METHYLPHENYL) PHOSPHATE 01-2119531335-46 Aquatic Acute 1 H400 (M,0.1 - < 1%,0.1 - < 1%,False,True,True,True,True,False,False
sds_07.pdf,1,0,cas,Iron oxide(Fe2O3),EC,10% ~ 20%,,False,True,False,True,True,False,False
sds_07.pdf,3,1,cas,Amorphous silica,EC,1% ~ 10%,,False,True,False,True,True,False,False
sds_07.pdf,4,2,cas,Carbon black,EC,1% ~ 10%,,False,True,False,True,True,False,False
sds_07.pdf,5,3,cas,Titanium dioxide,EC,~ 1%,,False,True,False,True,True,False,False
sds_08.pdf,0,0,cas,mefentrifluconazole,Aquatic Acute,6.99 %,1,False,True,False,True,True,False,False
sds_08.pdf,1,1,cas,Fluxapyroxad (ISO),Aquatic Acute,6.66 %,1,False,True,False,True,True,False,False
sds_08.pdf,2,2,cas,"N,N-Dimethyldecan-1-amide",Eye Irrit.,< 55 %,2,False,True,False,True,True,False,False
sds_08.pdf,3,3,cas,methyl methacrylate,Skin Sens.,< 3 %,1,False,True,False,True,True,False,False
