document,field,gold_state,predicted_state,gold_value,predicted_value,gold_derivation,predicted_derivation,gold_rule,predicted_rule,evidence_role,gold_pages,predicted_page,gold_evidence,predicted_evidence,state,value,page,span,bbox,derivation,support,span_coverage,span_iou,span_dilution,bbox_coverage,bbox_iou,bbox_dilution,verbatim,verbatim_fuzzy_score,joint_correct,confidence,gold_requires_evidence,gold_ambiguous,bbox_provenance,support_note,note
sds_01.pdf,product_name,PRESENT,PRESENT,REDUR AD 04,REDUR AD 04 Other means of identification: UFI: MY90-10UT-4008-K1J7 1.2 Relevant identified,EXPLICIT,DIRECT,,,direct,1,1,Product identifier: REDUR AD 04,Product identifier: REDUR AD 04 Other means of identification: UFI: MY90-10UT-4008-K1J7 1.2 Relevant identified,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.3571,2.80,0.8051,0.1234,6.33,True,0.0,False,0.9025,True,False,system,,
sds_01.pdf,supplier_name,PRESENT,PRESENT,SECILTEK SA,SECILTEK SA,EXPLICIT,DIRECT,,,direct,1,1,Details of the supplier of the safety data sheet: SECILTEK SA,Details of the supplier of the safety data sheet: SECILTEK SA,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,0.8466,0.8466,0.85,True,0.0,True,0.8905,True,False,system,,
sds_01.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,MIXTURE,EXPLICIT,DIRECT,,,direct,1,1,Chemical description: Mixture of substances | Substance: Non-applicable,Chemical description: Mixture of substances,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,0.8297,0.8297,0.83,True,0.0,True,0.8,True,False,system,,
sds_01.pdf,product_cas_number,NOT_APPLICABLE,NOT_APPLICABLE,,,EXPLICIT,DERIVED,,identifier_undefined_for_form,direct,1,1,Substance: Non-applicable,Chemical description: Mixture of substances,satisfied,satisfied,satisfied,violated,violated,violated,satisfied,0.0000,0.0000,2.50,0.0000,0.0000,1.11,True,0.0,False,0.8,True,False,system,premise establishes MIXTURE,"gold is direct, prediction is derived"
sds_01.pdf,chemical_formula,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,1,1,Chemical description: Mixture of substances | Substance: Non-applicable,Chemical description: Mixture of substances,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,0.8297,0.8297,0.83,True,0.0,True,0.8,True,False,system,premise establishes MIXTURE,
sds_01.pdf,molecular_weight,NOT_APPLICABLE,NOT_APPLICABLE,,,EXPLICIT,DIRECT,,,direct,4,4,Average molecular weight: Not relevant,Average molecular weight: Not relevant SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES 9.1 Information on basic,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,1.0000,0.3333,3.00,0.8044,0.1061,7.38,True,0.0,False,0.908,True,False,system,,
sds_01.pdf,flash_point,PRESENT,NOT_APPLICABLE,Non Flammable (>60 ºC),,EXPLICIT,DIRECT,,,direct,5,5,Flash Point: Non Flammable (>60 ºC),"Flash Point: Non Flammable (>60 °C) Flammability (solid, gas): Not relevant * Autoignition temperature:",violated,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.4286,2.33,0.7934,0.2061,3.64,True,0.0,False,0.9214,True,False,system,,
sds_02.pdf,product_name,PRESENT,PRESENT,Lithium ion rechargeable battery cell,Lithium ion rechargeable battery (including lithium polymer battery),EXPLICIT,DIRECT,,,direct,3,1,Product name: Lithium ion rechargeable battery cell,Product name: Lithium ion rechargeable battery (including lithium polymer battery),satisfied,violated,violated,violated,violated,satisfied,satisfied,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.93,True,False,system,,
sds_02.pdf,supplier_name,PRESENT,PRESENT,"Panasonic Energy Co., Ltd.","Panasonic Energy Co.., Ltd",EXPLICIT,DIRECT,,,direct,3,1,"Company name: Panasonic Energy Co., Ltd.","Manufacturer: Panasonic Energy Co.., Ltd.",satisfied,violated,violated,violated,violated,satisfied,satisfied,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.856,True,False,system,,
sds_02.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,MIXTURE,EXPLICIT,DIRECT,,,direct,4,4,Substance or preparation: Preparation,+ Substance or preparation: Preparation,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,0.8000,1.25,0.8209,0.7973,0.85,True,0.0,True,0.8,True,False,system,,
sds_02.pdf,product_cas_number,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,4,4,Substance or preparation: Preparation,+ Substance or preparation: Preparation,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,0.8000,1.25,0.8209,0.7973,0.85,True,0.0,True,0.8,True,False,system,premise establishes MIXTURE,
sds_02.pdf,chemical_formula,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,4,4,Substance or preparation: Preparation,+ Substance or preparation: Preparation,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,0.8000,1.25,0.8209,0.7973,0.85,True,0.0,True,0.8,True,False,system,premise establishes MIXTURE,
sds_02.pdf,molecular_weight,NOT_APPLICABLE,NOT_APPLICABLE,,,EXPLICIT,DERIVED,,identifier_undefined_for_form,direct,5,4,Molecular Weight : N/A,+ Substance or preparation: Preparation,satisfied,satisfied,violated,violated,violated,violated,satisfied,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.8,True,False,system,premise establishes MIXTURE,"gold is direct, prediction is derived"
sds_02.pdf,flash_point,NOT_STATED,NOT_STATED,,,ABSENT,DIRECT,,,direct,,,,,satisfied,satisfied,n/a,n/a,n/a,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,True,0.0,False,False,none,,
sds_03.pdf,product_name,PRESENT,NOT_APPLICABLE,STYCCOBOND F49 BASE,,EXPLICIT,DIRECT,,,direct,1,1,Product identifier: STYCCOBOND F49 BASE,Product identifier: STYCCOBOND F49 BASE Other means of identification: Not relevant 1.2 Relevant identified,violated,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.3571,2.80,0.8037,0.1430,5.43,True,0.0,False,0.8982,True,False,system,,
sds_03.pdf,supplier_name,PRESENT,PRESENT,F. Ball and Co. Ltd.,F. Ball and Co. Ltd. Churnetside Business Park,EXPLICIT,DIRECT,,,direct,1,1,Details of the supplier of the safety data sheet: F. Ball and Co. Ltd.,"Details of the supplier of the safety data sheet: F. Ball and Co. Ltd. Churnetside Business Park,",satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,0.8235,1.21,0.9191,0.6551,1.32,True,0.0,False,0.8924,True,False,system,,
