document,field,gold_state,predicted_state,gold_value,predicted_value,gold_derivation,predicted_derivation,gold_rule,predicted_rule,evidence_role,gold_pages,predicted_page,gold_evidence,predicted_evidence,state,value,page,span,bbox,derivation,support,span_coverage,span_iou,span_dilution,bbox_coverage,bbox_iou,bbox_dilution,verbatim,verbatim_fuzzy_score,joint_correct,confidence,gold_requires_evidence,gold_ambiguous,bbox_provenance,support_note,note
sds_01.pdf,product_name,PRESENT,PRESENT,REDUR AD 04,REDUR AD 04,EXPLICIT,DIRECT,,,direct,1,1,Product identifier: REDUR AD 04,Product identifier: REDUR AD 04,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.9,True,False,system,,
sds_01.pdf,supplier_name,PRESENT,PRESENT,SECILTEK SA,SECILTEK SA,EXPLICIT,DIRECT,,,direct,1,1,Details of the supplier of the safety data sheet: SECILTEK SA,Details of the supplier of the safety data sheet: SECILTEK SA,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.85,True,False,system,,
sds_01.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,MIXTURE,EXPLICIT,DIRECT,,,direct,1,1,Chemical description: Mixture of substances | Substance: Non-applicable,Chemical description: Mixture of substances,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,,
sds_01.pdf,product_cas_number,NOT_APPLICABLE,NOT_APPLICABLE,,,EXPLICIT,DERIVED,,identifier_undefined_for_form,direct,1,1,Substance: Non-applicable,Chemical description: Mixture of substances,satisfied,satisfied,satisfied,violated,violated,violated,satisfied,0.0000,0.0000,2.50,0.0000,0.0000,1.34,True,0.0,False,0.8,True,False,system,premise establishes MIXTURE,"gold is direct, prediction is derived"
sds_01.pdf,chemical_formula,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,1,1,Chemical description: Mixture of substances | Substance: Non-applicable,Chemical description: Mixture of substances,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,premise establishes MIXTURE,
sds_01.pdf,molecular_weight,NOT_APPLICABLE,NOT_APPLICABLE,,,EXPLICIT,DIRECT,,,direct,4,4,Average molecular weight: Not relevant,Average molecular weight: Not relevant,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.9,True,False,system,,
sds_01.pdf,flash_point,PRESENT,PRESENT,Non Flammable (>60 ºC),Non Flammable (>60 ºC),EXPLICIT,DIRECT,,,direct,5,5,Flash Point: Non Flammable (>60 ºC),Flash Point: Non Flammable (>60 ºC),satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.9,True,False,system,,
sds_02.pdf,product_name,PRESENT,PRESENT,Lithium ion rechargeable battery cell,Lithium ion rechargeable battery (including lithium polymer battery),EXPLICIT,DIRECT,,,direct,3,1,Product name: Lithium ion rechargeable battery cell,Product name: Lithium ion rechargeable battery (including lithium polymer battery),satisfied,violated,violated,violated,violated,satisfied,satisfied,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.9,True,False,system,,
sds_02.pdf,supplier_name,PRESENT,PRESENT,"Panasonic Energy Co., Ltd.","Panasonic Energy Co., Ltd",EXPLICIT,DIRECT,,,direct,3,1,"Company name: Panasonic Energy Co., Ltd.","Manufacturer: Panasonic Energy Co., Ltd.",satisfied,satisfied,violated,violated,violated,satisfied,satisfied,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.85,True,False,system,,
sds_02.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,MIXTURE,EXPLICIT,DIRECT,,,direct,4,4,Substance or preparation: Preparation, Substance or preparation: Preparation,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,0.8000,1.25,1.0000,0.9612,1.04,True,0.0,True,0.8,True,False,system,,
