document,field,gold_state,predicted_state,gold_value,predicted_value,gold_derivation,predicted_derivation,gold_rule,predicted_rule,evidence_role,gold_pages,predicted_page,gold_evidence,predicted_evidence,state,value,page,span,bbox,derivation,support,span_coverage,span_iou,span_dilution,bbox_coverage,bbox_iou,bbox_dilution,verbatim,verbatim_fuzzy_score,joint_correct,confidence,gold_requires_evidence,gold_ambiguous,bbox_provenance,support_note,note
sds_21.pdf,product_name,PRESENT,PRESENT,"HYDROQUINONE, CRYSTAL","HYDROQUINONE, CRYSTAL Other means of identification",EXPLICIT,DIRECT,,,direct,1,1,"Product Name HYDROQUINONE, CRYSTAL","Product Name HYDROQUINONE, CRYSTAL Other means of identification",satisfied,violated,satisfied,satisfied,violated,satisfied,satisfied,1.0000,0.5000,2.00,1.0000,0.3350,2.98,True,0.0,False,0.9,True,False,system,,
sds_21.pdf,supplier_name,PRESENT,PRESENT,Spectrum Chemical Mfg. Corp.,Emergency,EXPLICIT,DIRECT,,,direct,1,1,Supplier Address Spectrum Chemical Mfg. Corp.,Details of the supplier of the safety data sheet Emergency,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,0.1667,0.0667,1.67,1.0000,0.1367,7.32,True,0.0,False,0.85,True,False,system,,
sds_21.pdf,substance_or_mixture,PRESENT,PRESENT,SUBSTANCE,SUBSTANCE,EXPLICIT,DERIVED,,composition_implies_form,direct,2,2,3. Composition/information on ingredients Substance,Hydroquinone 123-31-9 100 *,satisfied,satisfied,satisfied,violated,violated,violated,satisfied,0.0000,0.0000,0.80,0.0000,0.0000,0.47,True,0.0,False,0.5,True,False,system,composition establishes SUBSTANCE,"gold is direct, prediction is derived"
sds_21.pdf,product_cas_number,PRESENT,PRESENT,123-31-9,123-31-9,EXPLICIT,DIRECT,,,direct,2,2,Hydroquinone 123-31-9 100,CAS No Weight-% Trade secret Hydroquinone 123-31-9 100 * *The exact percentage (concentration) of,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,1.0000,0.2143,4.67,1.0000,0.1423,7.03,True,0.0,False,0.9,True,False,system,,
sds_21.pdf,chemical_formula,NOT_STATED,NOT_STATED,,,ABSENT,DIRECT,,,direct,,,,,satisfied,satisfied,n/a,n/a,n/a,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,True,0.0,False,False,none,,
sds_21.pdf,molecular_weight,NO_DATA,NO_DATA,,,EXPLICIT,DIRECT,,,direct,5,5,Molecular weight No information available,Molecular weight No information available VOC Content (%) No information available Liquid Density No,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,1.0000,0.3571,2.80,1.0000,0.3323,3.01,True,0.0,False,0.9,True,False,system,,
sds_21.pdf,flash_point,PRESENT,NO_DATA,165 °C / 329 °F,,EXPLICIT,DIRECT,,,direct,5,5,Flash point 165 °C / 329 °F,Flash point 165 °C / 329 °F CC (closed cup) Evaporation rate no data,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,1.0000,0.5000,2.00,1.0000,0.3119,3.21,True,0.0,False,0.9,True,False,system,,
sds_22.pdf,product_name,PRESENT,PRESENT,MEDAPROTECT,MEDAPROTECT 1.2 Relevant identified uses of the substance or mixture and uses,EXPLICIT,DIRECT,,,direct,1,1,Trade name: MEDAPROTECT,Trade name: MEDAPROTECT 1.2 Relevant identified uses of the substance or mixture and uses,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.2143,4.67,1.0000,0.1458,6.86,True,0.0,False,0.9,True,False,system,,
sds_22.pdf,supplier_name,PRESENT,PRESENT,MEDALKAN,"Manufacturer/Supplier: MEDALKAN Michalakopoulou 102, P.C. 11528, Athens, Greece",EXPLICIT,DIRECT,,,direct,1,1,Manufacturer/Supplier: MEDALKAN,"Details of the supplier of the safety data sheet Manufacturer/Supplier: MEDALKAN Michalakopoulou 102, P.C. 11528, Athens, Greece",satisfied,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.1176,8.50,1.0000,0.2247,4.45,True,0.0,False,0.85,True,False,system,,
sds_22.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,MIXTURE,EXPLICIT,DIRECT,,,direct,2,2,3.2 Mixtures | Description: Mixture: consisting of the following components.,3.2 Mixtures,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,,
