document,field,gold_state,predicted_state,gold_value,predicted_value,gold_derivation,predicted_derivation,gold_rule,predicted_rule,evidence_role,gold_pages,predicted_page,gold_evidence,predicted_evidence,state,value,page,span,bbox,derivation,support,span_coverage,span_iou,span_dilution,bbox_coverage,bbox_iou,bbox_dilution,verbatim,verbatim_fuzzy_score,joint_correct,confidence,gold_requires_evidence,gold_ambiguous,bbox_provenance,support_note,note
sds_21.pdf,product_name,PRESENT,PRESENT,"HYDROQUINONE, CRYSTAL","HYDROQUINONE, CRYSTAL",EXPLICIT,DIRECT,,,direct,1,1,"Product Name HYDROQUINONE, CRYSTAL","Product Name HYDROQUINONE, CRYSTAL",satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,0.8005,0.8005,0.80,True,0.0,True,0.9287,True,False,system,,
sds_21.pdf,supplier_name,PRESENT,NOT_STATED,Spectrum Chemical Mfg. Corp.,,EXPLICIT,DIRECT,,,direct,1,,Supplier Address Spectrum Chemical Mfg. Corp.,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_21.pdf,substance_or_mixture,PRESENT,NOT_STATED,SUBSTANCE,,EXPLICIT,DIRECT,,,direct,2,,3. Composition/information on ingredients Substance,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_21.pdf,product_cas_number,PRESENT,NOT_STATED,123-31-9,,EXPLICIT,DIRECT,,,direct,2,,Hydroquinone 123-31-9 100,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_21.pdf,chemical_formula,NOT_STATED,NOT_STATED,,,ABSENT,DIRECT,,,direct,,,,,satisfied,satisfied,n/a,n/a,n/a,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,True,0.0,False,False,none,,
sds_21.pdf,molecular_weight,NO_DATA,NO_DATA,,,EXPLICIT,DIRECT,,,direct,5,5,Molecular weight No information available,Molecular weight No information available,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,0.8348,0.8348,0.83,True,0.0,True,0.929,True,False,system,,
sds_21.pdf,flash_point,PRESENT,PRESENT,165 °C / 329 °F,165 °C / 329 °F CC (closed cup),EXPLICIT,DIRECT,,,direct,5,5,Flash point 165 °C / 329 °F,Flash point 165 °C / 329 °F CC (closed cup),satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,0.7000,1.43,0.8871,0.5684,1.45,True,0.0,True,0.9215,True,False,system,,
sds_22.pdf,product_name,PRESENT,PRESENT,MEDAPROTECT,MEDAPROTECT,EXPLICIT,DIRECT,,,direct,1,1,Trade name: MEDAPROTECT,Trade name: MEDAPROTECT,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,1.0000,1.0000,1.00,0.7820,0.7820,0.78,True,0.0,False,0.91,True,False,system,,
sds_22.pdf,supplier_name,PRESENT,PRESENT,MEDALKAN,Manufacturer/Supplier,EXPLICIT,DIRECT,,,direct,1,1,Manufacturer/Supplier: MEDALKAN,Details of the supplier of the safety data sheet Manufacturer/Supplier:,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,0.5000,0.0909,5.00,0.4672,0.1754,2.13,True,0.0,False,0.902,True,False,system,,
sds_22.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,MIXTURE,EXPLICIT,DIRECT,,,direct,2,2,3.2 Mixtures | Description: Mixture: consisting of the following components.,3.2 Mixtures,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,1.0000,1.0000,1.00,0.7429,0.7429,0.74,True,0.0,False,0.8,True,False,system,,
sds_22.pdf,product_cas_number,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,2,2,3.2 Mixtures | Description: Mixture: consisting of the following components.,3.2 Mixtures,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,1.0000,1.0000,1.00,0.7429,0.7429,0.74,True,0.0,False,0.8,True,False,system,premise establishes MIXTURE,
sds_22.pdf,chemical_formula,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,2,2,3.2 Mixtures | Description: Mixture: consisting of the following components.,3.2 Mixtures,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,1.0000,1.0000,1.00,0.7429,0.7429,0.74,True,0.0,False,0.8,True,False,system,premise establishes MIXTURE,
sds_22.pdf,molecular_weight,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,2,2,3.2 Mixtures | Description: Mixture: consisting of the following components.,3.2 Mixtures,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,1.0000,1.0000,1.00,0.7429,0.7429,0.74,True,0.0,False,0.8,True,False,system,premise establishes MIXTURE,
sds_22.pdf,flash_point,NO_DATA,NO_DATA,,,EXPLICIT,DIRECT,,,direct,7,7,Flash point: Not determined,Flash point: Not determined,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,0.9320,0.9320,0.93,True,0.0,True,0.9313,True,False,system,,
sds_23.pdf,product_name,PRESENT,PRESENT,(S)-AL 8810,(S)-AL 8810,EXPLICIT,DIRECT,,,direct,1,1,Trade name: (S)-AL 8810,Trade name: (S)-AL 8810,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,0.9349,0.9349,0.93,True,0.0,True,0.9187,True,False,system,,
sds_23.pdf,supplier_name,PRESENT,NOT_STATED,Cayman Chemical Co.,,EXPLICIT,DIRECT,,,direct,1,,Manufacturer/Supplier: Cayman Chemical Co.,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_23.pdf,substance_or_mixture,PRESENT,PRESENT,SUBSTANCE,SUBSTANCE,EXPLICIT,DERIVED,,composition_implies_form,direct,2,2,Chemical characterization: Substances,1224444-55-6 (S)-AL 8810,satisfied,satisfied,satisfied,violated,violated,violated,undecidable,0.0000,0.0000,1.00,0.0000,0.0000,0.59,True,0.0,False,0.5,True,False,system,cited premises do not establish a product form,"gold is direct, prediction is derived"
sds_23.pdf,product_cas_number,PRESENT,PRESENT,1224444-55-6,1224444-55-6,EXPLICIT,DIRECT,,,direct,"1,2",1,CAS Number: 1224444-55-6 | 1224444-55-6 (S)-AL 8810,CAS Number: 1224444-55-6,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,0.8510,0.8510,0.85,True,0.0,True,0.925,True,False,system,,
sds_23.pdf,chemical_formula,PRESENT,NOT_STATED,C24H31O4F,,EXPLICIT,DIRECT,,,direct,4,,Structural Formula C24H31O4F,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_23.pdf,molecular_weight,PRESENT,PRESENT,402.5 g/mol,402.5 g/mol,EXPLICIT,DIRECT,,,direct,4,4,Molecular Weight 402.5 g/mol,Molecular Weight 402.5 g/mol,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,0.9547,0.9498,0.96,True,0.0,True,0.93,True,False,system,,
sds_23.pdf,flash_point,NOT_APPLICABLE,NOT_APPLICABLE,,,EXPLICIT,DIRECT,,,direct,4,4,Flash point: Not applicable.,Flash point: Not applicable.,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,0.9543,0.9494,0.96,True,0.0,True,0.93,True,False,system,,
sds_24.pdf,product_name,PRESENT,PRESENT,824,824,EXPLICIT,DIRECT,,,direct,1,1,Trade name: 824,Trade name: 824,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,1.0000,1.0000,1.00,0.7469,0.7469,0.75,True,0.0,False,0.925,True,False,system,,
sds_24.pdf,supplier_name,PRESENT,PRESENT,MG Chemicals (Head Office),Masline,EXPLICIT,DIRECT,,,direct,1,1,Manufacturer/Supplier: MG Chemicals (Head Office),Distributor: Masline,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,0.0000,0.0000,0.40,0.0000,0.0000,0.40,True,0.0,False,0.88,True,False,system,,
sds_24.pdf,substance_or_mixture,PRESENT,NOT_STATED,SUBSTANCE,,EXPLICIT,DIRECT,,,direct,2,,Chemical characterization: Substances,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_24.pdf,product_cas_number,PRESENT,PRESENT,67-63-0,67-63-0,EXPLICIT,DIRECT,,,direct,"1,2",1,CAS Number: 67-63-0 | 67-63-0 Propan-2-ol,CAS Number: 67-63-0,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,0.8943,0.8943,0.89,True,0.0,True,0.9233,True,False,system,,
sds_24.pdf,chemical_formula,NOT_STATED,NOT_STATED,,,ABSENT,DIRECT,,,direct,,,,,satisfied,satisfied,n/a,n/a,n/a,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,True,0.0,False,False,none,,
sds_24.pdf,molecular_weight,NOT_STATED,NOT_STATED,,,ABSENT,DIRECT,,,direct,,,,,satisfied,satisfied,n/a,n/a,n/a,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,True,0.0,False,False,none,,
sds_24.pdf,flash_point,PRESENT,PRESENT,12 °C (53.6 °F),12 T (53.6 °F),EXPLICIT,DIRECT,,,direct,6,6,Flash point: 12 °C (53.6 °F),Flash point: 12 T (53.6 °F),satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,0.5000,0.3333,1.00,0.9817,0.9817,0.98,True,0.0,False,0.8733,True,False,system,,
sds_25.pdf,product_name,PRESENT,PRESENT,NS 100,NS 100,EXPLICIT,DIRECT,,,direct,1,1,Product name NS 100,Product name NS 100,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,1.0000,1.0000,1.00,0.0378,0.0378,0.04,False,89.5,False,0.9238,True,False,system,citation is not verbatim,cited quote does not occur verbatim on the cited page
